iter	MultiClass
0	1.584825943
1	1.561582531
2	1.540756538
3	1.523389061
4	1.499627165
5	1.483519447
6	1.467517072
7	1.448886459
8	1.433984005
9	1.418500609
10	1.399869242
11	1.38247647
12	1.364768437
13	1.351376746
14	1.331033615
15	1.315522884
16	1.298387835
17	1.282971635
18	1.26859715
19	1.250647956
20	1.238512788
21	1.224580397
22	1.209496944
23	1.196091156
24	1.18522204
25	1.173570258
26	1.162066746
27	1.14854347
28	1.136623305
29	1.123321808
30	1.109171342
31	1.100228719
32	1.092207231
33	1.081037305
34	1.071158386
35	1.059471775
36	1.049699487
37	1.039805406
38	1.030141546
39	1.02076661
40	1.008956361
41	0.9998539191
42	0.9911793185
43	0.9821461015
44	0.9731717576
45	0.9655670952
46	0.9556172937
47	0.952485606
48	0.944309148
49	0.9347464632
50	0.9265543495
51	0.918194122
52	0.9098402991
53	0.9023330646
54	0.8936178284
55	0.8856913704
56	0.8777277094
57	0.8714008923
58	0.8638002807
59	0.8585952834
60	0.8526282338
61	0.8456975601
62	0.8391830087
63	0.8318161193
64	0.8266099496
65	0.8224672722
66	0.8173709968
67	0.8109547621
68	0.8050595006
69	0.7989727324
70	0.7923044222
71	0.7863142364
72	0.7793668106
73	0.7721501044
74	0.7670035472
75	0.7609151254
76	0.7549463405
77	0.7504760078
78	0.7453918393
79	0.7402367622
80	0.7343068792
81	0.729133852
82	0.7231430745
83	0.7183115007
84	0.7136931932
85	0.7104179071
86	0.7049148164
87	0.6994764467
88	0.6956890615
89	0.691318411
90	0.6859876527
91	0.6822611148
92	0.6772228604
93	0.6729650754
94	0.6685416057
95	0.6638094158
96	0.6591469121
97	0.6550161182
98	0.6506385024
99	0.6454106039
100	0.6410919062
101	0.6364791684
102	0.6318045098
103	0.6284596193
104	0.6239739617
105	0.6211400027
106	0.6157542867
107	0.6115256132
108	0.6066940602
109	0.6035085443
110	0.5986545116
111	0.5952958804
112	0.5914318293
113	0.5873060544
114	0.5826551244
115	0.5778523593
116	0.5737784671
117	0.5698049939
118	0.5657194273
119	0.5630512876
120	0.5587679073
121	0.5550516307
122	0.5512454099
123	0.5485751117
124	0.545094278
125	0.5417113525
126	0.5384939937
127	0.5351778798
128	0.5326955558
129	0.5287316188
130	0.524840818
131	0.5212222554
132	0.5174589693
133	0.5147393021
134	0.5114141275
135	0.5075267093
136	0.5044833183
137	0.5011283007
138	0.4987352395
139	0.4956563311
140	0.492835651
141	0.4895966961
142	0.4870833816
143	0.4839986138
144	0.4812030399
145	0.4780476327
146	0.4748946976
147	0.471963763
148	0.4690022715
149	0.4657398893
150	0.4626230184
151	0.4596447279
152	0.457032067
153	0.4544301865
154	0.4521138362
155	0.4501198094
156	0.4471283546
157	0.4442565737
158	0.4412876454
159	0.4386422697
160	0.4359755243
161	0.4327834029
162	0.4300089827
163	0.4273957265
164	0.4251411607
165	0.4229367016
166	0.4202696682
167	0.4175390769
168	0.4151609609
169	0.4123407759
170	0.4109585466
171	0.4085746491
172	0.4070404717
173	0.4044472313
174	0.4021132613
175	0.4002407565
176	0.398051054
177	0.3954574812
178	0.3931777807
179	0.3912427191
180	0.3891300627
181	0.386786038
182	0.3843186527
183	0.382410979
184	0.380024901
185	0.3779991015
186	0.3753332287
187	0.3733068256
188	0.3712585223
189	0.3690383628
190	0.3667785323
191	0.3648724936
192	0.3634018582
193	0.3611915069
194	0.359840403
195	0.3582133043
196	0.3559850389
197	0.3536796594
198	0.3517768107
199	0.3498075635
200	0.348180056
201	0.3462879667
202	0.3447262902
203	0.3426782046
204	0.3409807419
205	0.3391481527
206	0.3377834681
207	0.3358484791
208	0.334088266
209	0.3325032573
210	0.3308614746
211	0.3294661885
212	0.3279240562
213	0.3262057831
214	0.3244455062
215	0.3227050621
216	0.3215863925
217	0.3195796324
218	0.3181473582
219	0.316916613
220	0.3150351672
221	0.3135552246
222	0.3119217457
223	0.3105867782
224	0.3087614963
